,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
236,Diamond Princess,Canada,0.0,0.0,2020-03-21,0,0,0,0
237,Grand Princess,Canada,0.0,0.0,2020-03-21,10,0,0,10
238, ,Diamond Princess,0.0,0.0,2020-03-21,712,8,325,379
239, ,MS Zaandam,0.0,0.0,2020-03-21,0,0,0,0
240,Diamond Princess,Canada,0.0,0.0,2020-03-22,0,1,0,-1
241,Grand Princess,Canada,0.0,0.0,2020-03-22,13,0,0,13
242, ,Diamond Princess,0.0,0.0,2020-03-22,712,8,325,379
243, ,MS Zaandam,0.0,0.0,2020-03-22,0,0,0,0
244,Diamond Princess,Canada,0.0,0.0,2020-03-23,0,1,0,-1
245,Grand Princess,Canada,0.0,0.0,2020-03-23,13,0,0,13
246, ,Diamond Princess,0.0,0.0,2020-03-23,712,8,325,379
247, ,MS Zaandam,0.0,0.0,2020-03-23,0,0,0,0
248,Diamond Princess,Canada,0.0,0.0,2020-03-24,0,1,0,-1
249,Grand Princess,Canada,0.0,0.0,2020-03-24,13,0,0,13
250, ,Diamond Princess,0.0,0.0,2020-03-24,712,10,325,377
251, ,MS Zaandam,0.0,0.0,2020-03-24,0,0,0,0
252,Diamond Princess,Canada,0.0,0.0,2020-03-25,0,1,0,-1
253,Grand Princess,Canada,0.0,0.0,2020-03-25,13,0,0,13
254, ,Diamond Princess,0.0,0.0,2020-03-25,712,10,587,115
255, ,MS Zaandam,0.0,0.0,2020-03-25,0,0,0,0
256,Diamond Princess,Canada,0.0,0.0,2020-03-26,0,1,0,-1
257,Grand Princess,Canada,0.0,0.0,2020-03-26,13,0,0,13
258, ,Diamond Princess,0.0,0.0,2020-03-26,712,10,597,105
259, ,MS Zaandam,0.0,0.0,2020-03-26,0,0,0,0
260,Diamond Princess,Canada,0.0,0.0,2020-03-27,0,1,0,-1
261,Grand Princess,Canada,0.0,0.0,2020-03-27,13,0,0,13
262, ,Diamond Princess,0.0,0.0,2020-03-27,712,10,597,105
263, ,MS Zaandam,0.0,0.0,2020-03-27,0,0,0,0
264,Diamond Princess,Canada,0.0,0.0,2020-03-28,0,1,0,-1
265,Grand Princess,Canada,0.0,0.0,2020-03-28,13,0,0,13
266, ,Diamond Princess,0.0,0.0,2020-03-28,712,10,597,105
267, ,MS Zaandam,0.0,0.0,2020-03-28,2,0,0,2
268,Diamond Princess,Canada,0.0,0.0,2020-03-29,0,1,0,-1
269,Grand Princess,Canada,0.0,0.0,2020-03-29,13,0,0,13
270, ,Diamond Princess,0.0,0.0,2020-03-29,712,10,603,99
271, ,MS Zaandam,0.0,0.0,2020-03-29,2,0,0,2
272,Diamond Princess,Canada,0.0,0.0,2020-03-30,0,1,0,-1
273,Grand Princess,Canada,0.0,0.0,2020-03-30,13,0,0,13
274, ,Diamond Princess,0.0,0.0,2020-03-30,712,10,603,99
275, ,MS Zaandam,0.0,0.0,2020-03-30,2,0,0,2
276,Diamond Princess,Canada,0.0,0.0,2020-03-31,0,1,0,-1
277,Grand Princess,Canada,0.0,0.0,2020-03-31,13,0,0,13
278, ,Diamond Princess,0.0,0.0,2020-03-31,712,10,603,99
279, ,MS Zaandam,0.0,0.0,2020-03-31,2,0,0,2
280,Diamond Princess,Canada,0.0,0.0,2020-04-01,0,1,0,-1
281,Grand Princess,Canada,0.0,0.0,2020-04-01,13,0,0,13
282, ,Diamond Princess,0.0,0.0,2020-04-01,712,11,603,98
283, ,MS Zaandam,0.0,0.0,2020-04-01,9,2,0,7
284,Diamond Princess,Canada,0.0,0.0,2020-04-02,0,1,0,-1
285,Grand Princess,Canada,0.0,0.0,2020-04-02,13,0,0,13
286, ,Diamond Princess,0.0,0.0,2020-04-02,712,11,619,82
287, ,MS Zaandam,0.0,0.0,2020-04-02,9,2,0,7
288,Diamond Princess,Canada,0.0,0.0,2020-04-03,0,1,0,-1
289,Grand Princess,Canada,0.0,0.0,2020-04-03,13,0,0,13
290, ,Diamond Princess,0.0,0.0,2020-04-03,712,11,619,82
291, ,MS Zaandam,0.0,0.0,2020-04-03,9,2,0,7
292,Diamond Princess,Canada,0.0,0.0,2020-04-04,0,1,0,-1
293,Grand Princess,Canada,0.0,0.0,2020-04-04,13,0,0,13
294, ,Diamond Princess,0.0,0.0,2020-04-04,712,11,619,82
295, ,MS Zaandam,0.0,0.0,2020-04-04,9,2,0,7
296,Diamond Princess,Canada,0.0,0.0,2020-04-05,0,1,0,-1
297,Grand Princess,Canada,0.0,0.0,2020-04-05,13,0,0,13
298, ,Diamond Princess,0.0,0.0,2020-04-05,712,11,619,82
299, ,MS Zaandam,0.0,0.0,2020-04-05,9,2,0,7
300,Diamond Princess,Canada,0.0,0.0,2020-04-06,0,1,0,-1
301,Grand Princess,Canada,0.0,0.0,2020-04-06,13,0,0,13
302, ,Diamond Princess,0.0,0.0,2020-04-06,712,11,619,82
303, ,MS Zaandam,0.0,0.0,2020-04-06,9,2,0,7
304,Diamond Princess,Canada,0.0,0.0,2020-04-07,0,1,0,-1
305,Grand Princess,Canada,0.0,0.0,2020-04-07,13,0,0,13
306, ,Diamond Princess,0.0,0.0,2020-04-07,712,11,619,82
307, ,MS Zaandam,0.0,0.0,2020-04-07,9,2,0,7
308,Diamond Princess,Canada,0.0,0.0,2020-04-08,0,1,0,-1
309,Grand Princess,Canada,0.0,0.0,2020-04-08,13,0,0,13
310, ,Diamond Princess,0.0,0.0,2020-04-08,712,11,619,82
311, ,MS Zaandam,0.0,0.0,2020-04-08,9,2,0,7
312,Diamond Princess,Canada,0.0,0.0,2020-04-09,0,1,0,-1
313,Grand Princess,Canada,0.0,0.0,2020-04-09,13,0,0,13
314, ,Diamond Princess,0.0,0.0,2020-04-09,712,11,619,82
315, ,MS Zaandam,0.0,0.0,2020-04-09,9,2,0,7
316,Diamond Princess,Canada,0.0,0.0,2020-04-10,0,1,0,-1
317,Grand Princess,Canada,0.0,0.0,2020-04-10,13,0,0,13
318, ,Diamond Princess,0.0,0.0,2020-04-10,712,11,619,82
319, ,MS Zaandam,0.0,0.0,2020-04-10,9,2,0,7
320,Diamond Princess,Canada,0.0,0.0,2020-04-11,0,1,0,-1
321,Grand Princess,Canada,0.0,0.0,2020-04-11,13,0,0,13
322, ,Diamond Princess,0.0,0.0,2020-04-11,712,11,619,82
